player_id;player_name;player_nickname;last_team_id;last_team_name;last_team_acronym
12452;Zachary Darnell Graham;Zach Graham;2;Flamengo;FLA
12453;Windi Graterol Clemente;Graterol;282;Brasília;BSB
12454;Rodrigo Gonçalves;Rodrigo;282;Brasília;BSB
12455;Vithor Pereira Massaneiro;V. Massaneiro;268;Joinville / AABJ;JLE
12456;Jonas Lopes Pereira Nunes;J. Nunes;268;Joinville / AABJ;JLE
12457;Caio Cesar Leal Veríssimo;Caio;239;Vasco da Gama;VAS
12458;Gabriel Carlos Mariano dos Santos;Gabriel;282;Brasília;BSB
12459;Ítalo Bonizioli Honorato;Honorato;279;Corinthians;COR
12460;Lucas Araujo Oliveira;Araujo;239;Vasco da Gama;VAS
12461;Ahmad Starks;Starks;268;Joinville / AABJ;JLE
12462;Luciano Parodi González;Parodi;14;Franca;FRA
12463;Rafael de Araujo Castro Corrêa;Rafael;17;Paulistano;CAP
12464;Mateus Henrique Diniz;M. Diniz;268;Joinville / AABJ;JLE
12465;Rafael Estevam de Souza Pereira;Rafael;268;Joinville / AABJ;JLE
12466;Gabriel Campos;G. Campos;18;Pinheiros;PIN
12494;Dominic Terrell Phillips;Phillips;284;Pato Basquete;PAT
12498;Fernando Andreolli Prochnow;Prochnow;129;Rio Claro;RCB
12499;Bruno Santilli Fornazari;Bruno;129;Rio Claro;RCB
12500;Eduardo Barbosa Sanchez;Sanchez;129;Rio Claro;RCB
12501;Korian Jamar Lucious;Lucious;129;Rio Claro;RCB
12504;Anderson Rodrigues;Rodrigues;284;Pato Basquete;PAT
12506;Jalen Dean Jones;Jones;285;São Paulo Futebol Clube;SAO
12507;Juan Nunes Torralbo;Juan;54;Mogi;MOG
12508;Murilo do Prado Alves de Souza;Murilo;54;Mogi;MOG
12509;André de Mattos Guedes;Mattos;54;Mogi;MOG
12512;Anderson Vinicius de Andrade Pinheiro;Anderson;279;Corinthians;COR
12514;Lucas Faggiano;Faggiano;13;Bauru;BAU
12516;Tracy Terrel Robinson;Robinson;279;Corinthians;COR
12517;Anthony Laveal Johnson;Johnson;279;Corinthians;COR
12518;Leron Markeis Black;Black;16;Minas;MIN
12531;Cristhyã Rogério Fernandes da Silva;Cristhyã;17;Paulistano;CAP
12542;Matheus Maciel Marques de Souza;Maciel;2;Flamengo;FLA
12559;João Marcello Cardoso Pereira;Mãozinha;18;Pinheiros;PIN
12562;Elvis José Viana Filho;Viana;18;Pinheiros;PIN
12563;Alexandre Ludwig Agustinho;A. Ludwig;18;Pinheiros;PIN
12597;Vitor Penaroti Forti;Vitor;19;São José;SJO
12598;Andrew Augusto Viana Gomes de Brito;Andrew;13;Bauru;BAU
12600;Pedro Barros Nunes;Pedro Nunes;2;Flamengo;FLA
12606;Felipe Esteves Oliveira;Felipe;282;Brasília;BSB
12608;Yan Djalo Barbosa Te;Yan;279;Corinthians;COR
12615;Delano Demetrius Spencer II;Spencer;278;UNIFACISA;UFC
12616;Nicholas Wiggins;Wiggins;13;Bauru;BAU
12617;Malcolm Jamal Miller;Miller;278;UNIFACISA;UFC
12618;Jeremiah Timotheus Massey;Massey;13;Bauru;BAU
12671;Charles Vastine Funches III;Funches III;284;Pato Basquete;PAT
12676;Devon Henry Scott;Scott;16;Minas;MIN
12677;Carlos Leonel Schattmann;Schattmann;14;Franca;FRA
12678;Matheus Almeida Sanches Damião;Sanches;54;Mogi;MOG
12679;Gabriel Ziggy Dantas Raposo;Ziggy;54;Mogi;MOG
12680;Matheus Gonzaga da Silva;Gonzaga;54;Mogi;MOG
12681;Gelvis Andres Solano Paulino;Solano;17;Paulistano;CAP
12683;Walter Clay Baxley;Baxley;129;Rio Claro;RCB
12684;Guido Mariani;Mariani;19;São José;SJO
12685;Carlos Emanuel Buemo;Buemo;19;São José;SJO
12686;Diego Rafael Figueredo;Figueredo;19;São José;SJO
12687;Santiago Adolfo Vidal Casaretto;Pepo Vidal;278;UNIFACISA;UFC
12688;Angustin Antonio Ambrosino;Ambrosino;19;São José;SJO
12689;Anthony Eugene Smith Jr;Smith;284;Pato Basquete;PAT
12690;Freddie Antonia Mcswain Jr;Freddie;267;Botafogo;BOT
12691;Kevin Rolando Foster;Kevin Foster;17;Paulistano;CAP
12692;Eloy Antônio Camacho Vargas;Vargas;2;Flamengo;FLA
12693;Brent Roderick Jackson Jr;Jackson Jr;16;Minas;MIN
12694;Daviyon Curtis Draper;Draper;13;Bauru;BAU
12695;Nehemias Morillo Lajara;Morillo;19;São José;SJO
12696;Gustavo Javier Barrera Castro;Barrera;2;Flamengo;FLA
12697;Dikembe Malik Dixson;Dixson;278;UNIFACISA;UFC
12699;Matheus Veloso Torres;Veloso;282;Brasília;BSB
12700;Dhomini Alex Vieira;Dhomini;129;Rio Claro;RCB
12701;Augusto César Prospero Barbosa;Augusto;129;Rio Claro;RCB
12704;Daniel Suassuna da Fonte;Suassuna;282;Brasília;BSB
12705;Raffael Mencarini;Mencarini;279;Corinthians;COR
